tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
88.00;553296219#0_0;0.34;11.40;29.00;0.05;893247430_0;5.10;0.00;tripinfo_veh48 routing_veh48;59.00;veh48;1;458.99;0.88;0.00;16.19;veh_passenger;;1;4.00
103.00;404966383#1_0;9.91;1.45;5.00;0.78;42207958#1_1;5.10;0.00;tripinfo_veh7 routing_veh7;98.00;veh7;1;885.95;0.89;0.00;11.91;veh_passenger;;0;0.00
107.00;-258715367_0;38.77;8.51;8.00;0.76;-86484905#1_0;5.10;0.00;tripinfo_veh12 routing_veh12;99.00;veh12;1;940.60;1.05;0.00;19.28;veh_passenger;;1;3.00
107.00;61429486#2_0;89.72;15.01;19.00;0.30;-400449376#0_0;0.20;0.00;tripinfo_veh31 routing_veh31;88.00;veh31;1;1189.97;1.15;0.00;16.41;veh_passenger;;0;0.00
146.00;427719632#2_0;0.42;6.76;11.00;0.14;534903531#2_0;5.10;0.00;tripinfo_veh18 routing_veh18;135.00;veh18;1;934.37;0.94;0.00;58.90;veh_passenger;;1;46.00
176.00;304931621_0;27.20;7.46;29.00;0.65;-241308377_0;5.10;0.00;tripinfo_veh47 routing_veh47;147.00;veh47;1;1493.56;0.90;0.00;17.46;veh_passenger;;0;0.00
184.00;347760566_0;19.74;11.11;53.00;0.52;257861000#1_0;5.10;0.00;tripinfo_veh87 routing_veh87;131.00;veh87;1;1128.01;1.00;0.00;18.13;veh_passenger;;1;1.00
198.00;241308385_0;34.43;13.21;137.00;0.07;-242069235#1_0;5.10;0.00;tripinfo_veh227 routing_veh227;61.00;veh227;1;611.19;1.02;0.00;11.98;veh_passenger;;0;0.00
213.00;48537859_0;18.04;9.48;80.00;0.98;535613367#4_1;5.10;0.00;tripinfo_veh131 routing_veh131;133.00;veh131;1;1346.55;1.01;0.00;28.83;veh_passenger;;1;4.00
216.00;-61426882#3_0;31.01;4.24;7.00;0.36;86484949#1_0;3.20;0.00;tripinfo_veh11 routing_veh11;209.00;veh11;1;1821.04;1.03;0.00;38.42;veh_passenger;;1;5.00
216.00;542542878_0;124.48;12.05;60.00;0.88;98607732_0;5.10;12.59;tripinfo_veh98 routing_veh98;156.00;veh98;1;1510.29;0.91;0.00;28.16;veh_passenger;;1;5.00
221.00;42201259#6_1;158.87;24.66;47.00;0.55;-86484936_0;5.10;4.31;tripinfo_veh77 routing_veh77;174.00;veh77;1;2154.99;1.03;0.00;28.39;veh_passenger;;0;0.00
224.00;241299723_0;85.42;12.68;57.00;0.30;-242293660#0_0;5.10;0.00;tripinfo_veh94 routing_veh94;167.00;veh94;1;1449.74;0.92;0.00;37.83;veh_passenger;;2;3.00
227.00;98607703_0;68.19;14.34;64.00;0.06;-86484905#2_0;5.10;0.00;tripinfo_veh106 routing_veh106;163.00;veh106;1;1950.29;1.07;0.00;16.59;veh_passenger;;0;0.00
227.00;893239409_0;98.13;5.14;169.00;0.10;48537846_0;5.10;16.77;tripinfo_veh280 routing_veh280;58.00;veh280;1;682.39;1.21;0.00;16.08;veh_passenger;;0;0.00
232.00;542537665_1;101.52;8.29;38.00;0.00;553296219#0_2;0.34;0.00;tripinfo_veh63 routing_veh63;194.00;veh63;1;1797.62;1.02;0.00;56.18;veh_passenger;;3;31.00
234.00;102321836#1_0;47.75;13.44;4.00;0.38;-1180352276_0;5.10;14.53;tripinfo_veh6 routing_veh6;230.00;veh6;1;2379.69;1.05;0.00;50.12;veh_passenger;;2;9.00
237.00;-48137890#1_0;112.29;22.29;70.00;0.63;404948898_1;5.10;0.00;tripinfo_veh115 routing_veh115;167.00;veh115;1;1453.52;1.10;0.00;72.13;veh_passenger;;2;29.00
240.00;241515842_0;21.14;12.88;116.00;0.79;240449701#1_0;5.10;0.00;tripinfo_veh191 routing_veh191;124.00;veh191;1;1157.10;0.97;0.00;37.01;veh_passenger;;1;11.00
241.00;475312979#1_0;43.24;14.36;8.00;0.16;-248268270_0;5.10;15.60;tripinfo_veh13 routing_veh13;233.00;veh13;1;2806.99;1.12;0.00;50.22;veh_passenger;;1;12.00
242.00;107415172#2_0;21.39;11.78;6.00;0.57;50557151_0;5.10;0.00;tripinfo_veh9 routing_veh9;236.00;veh9;1;2208.29;0.86;0.00;49.15;veh_passenger;;2;26.00
242.00;248268270_0;51.57;12.63;138.00;0.47;-509965322_0;5.10;13.46;tripinfo_veh228 routing_veh228;104.00;veh228;1;1094.82;0.97;0.00;18.25;veh_passenger;;0;0.00
242.00;81508877#5_0;41.51;13.32;148.00;0.81;241299690#0_0;5.10;0.00;tripinfo_veh244 routing_veh244;94.00;veh244;1;1127.71;1.01;0.00;12.21;veh_passenger;;0;0.00
243.00;403003684_0;37.41;13.11;46.00;0.76;257862139_0;5.10;13.27;tripinfo_veh75 routing_veh75;197.00;veh75;1;1906.83;0.96;0.00;38.79;veh_passenger;;2;5.00
250.00;98607708#0_0;106.84;7.93;77.00;0.99;98607719#1_0;5.10;0.00;tripinfo_veh126 routing_veh126;173.00;veh126;1;1185.03;1.06;0.00;29.50;veh_passenger;;0;0.00
253.00;107405952#6_0;394.12;24.88;143.00;0.64;118366335#1_0;5.10;0.00;tripinfo_veh236 routing_veh236;110.00;veh236;1;1469.17;1.15;0.00;18.52;veh_passenger;;0;0.00
268.00;241299721_0;38.97;11.10;14.00;0.13;-259857604_0;5.10;12.36;tripinfo_veh23 routing_veh23;254.00;veh23;1;2352.23;0.89;0.00;53.74;veh_passenger;;3;13.00
268.00;895272991#1_0;69.73;13.59;93.00;0.71;49222367#11_0;5.10;0.00;tripinfo_veh153 routing_veh153;175.00;veh153;1;1317.93;1.00;0.00;55.42;veh_passenger;;3;24.00
271.00;42143918#1_0;101.96;7.74;66.00;0.25;893240786#1_1;0.20;0.00;tripinfo_veh109 routing_veh109;205.00;veh109;1;1376.28;1.06;0.00;57.38;veh_passenger;;4;29.00
275.00;397470322_0;69.75;14.98;23.00;0.08;61426885#3_0;5.10;0.00;tripinfo_veh38 routing_veh38;252.00;veh38;1;2662.67;1.10;0.00;72.02;veh_passenger;;4;24.00
277.00;1179951482#1_0;37.12;11.74;1.00;0.40;-514836100_0;5.10;2.61;tripinfo_veh1 routing_veh1;276.00;veh1;1;2088.01;0.94;0.00;44.98;veh_passenger;;2;12.00
277.00;-549778901#5_0;45.61;12.69;114.00;0.59;-690734041#1_0;5.10;12.72;tripinfo_veh188 routing_veh188;163.00;veh188;1;1566.98;0.92;0.00;36.07;veh_passenger;;2;10.00
280.00;-48903081#2_0;42.18;13.25;92.00;0.91;-397369740_0;5.10;14.44;tripinfo_veh151 routing_veh151;188.00;veh151;1;1307.25;1.04;0.00;88.50;veh_passenger;;4;46.00
286.00;-48102262#2_0;49.05;10.14;54.00;0.31;48537828#0_1;5.10;0.00;tripinfo_veh89 routing_veh89;232.00;veh89;1;2794.14;1.01;0.00;39.76;veh_passenger;;0;0.00
286.00;242069217#1_0;97.94;26.41;81.00;0.17;528156295_0;0.20;0.00;tripinfo_veh134 routing_veh134;205.00;veh134;1;2398.72;0.96;0.00;38.90;veh_passenger;;0;0.00
287.00;81508868#5_0;52.88;11.61;98.00;0.28;-86484904_0;5.10;0.00;tripinfo_veh162 routing_veh162;189.00;veh162;1;1532.25;0.88;0.00;31.51;veh_passenger;;1;4.00
288.00;101459744_0;88.70;13.01;103.00;0.45;-1180174778_0;5.10;13.66;tripinfo_veh170 routing_veh170;185.00;veh170;1;1425.55;0.98;0.00;60.69;veh_passenger;;4;33.00
288.00;542406425#1_0;80.15;14.40;236.00;0.14;338566787#5_0;5.10;0.00;tripinfo_veh391 routing_veh391;52.00;veh391;1;566.83;1.10;0.00;14.41;veh_passenger;;1;2.00
289.00;86484916_0;40.02;13.56;32.00;0.03;283122516#0_0;5.10;14.12;tripinfo_veh53 routing_veh53;257.00;veh53;1;3661.15;1.02;0.00;46.84;veh_passenger;;0;0.00
289.00;48962884#5_0;48.67;12.26;41.00;0.58;-241515818_0;5.10;12.60;tripinfo_veh67 routing_veh67;248.00;veh67;1;2231.96;0.91;0.00;55.09;veh_passenger;;2;17.00
293.00;404316078_0;57.46;11.64;105.00;0.04;895021244_0;5.10;0.00;tripinfo_veh174 routing_veh174;188.00;veh174;1;1000.12;0.89;0.00;87.00;veh_passenger;;1;67.00
296.00;-242069348#3_0;79.74;14.06;3.00;0.59;-242293660#0_0;5.10;0.00;tripinfo_veh4 routing_veh4;293.00;veh4;1;2740.39;1.03;0.00;92.10;veh_passenger;;4;36.00
296.00;208769666_0;69.84;13.21;85.00;0.55;42201260#8_0;5.10;0.00;tripinfo_veh140 routing_veh140;211.00;veh140;1;3048.67;1.00;0.00;32.00;veh_passenger;;1;6.00
298.00;208769662#2_2;69.85;14.68;33.00;0.43;552616903_0;5.10;0.00;tripinfo_veh54 routing_veh54;265.00;veh54;1;3505.51;1.10;0.00;32.42;veh_passenger;;0;0.00
300.00;-304027275#15_0;233.08;14.15;27.00;0.46;242293674#2_0;5.10;0.00;tripinfo_veh44 routing_veh44;273.00;veh44;1;3098.58;1.04;0.00;76.17;veh_passenger;;3;22.00
302.00;91013808_0;156.57;13.65;80.00;0.38;40972463#2_1;5.10;0.00;tripinfo_veh132 routing_veh132;222.00;veh132;1;2448.19;1.03;0.00;48.33;veh_passenger;;3;14.00
303.00;422705698#1_0;21.72;10.80;17.00;0.71;42207942#0_0;5.10;0.00;tripinfo_veh27 routing_veh27;286.00;veh27;1;2344.23;0.95;0.00;65.56;veh_passenger;;4;13.00
304.00;403123670#1_0;34.67;10.79;55.00;0.71;897172812_0;5.10;0.00;tripinfo_veh90 routing_veh90;249.00;veh90;1;2590.51;1.02;0.00;52.18;veh_passenger;;3;17.00
307.00;326566170#1_0;76.67;12.54;62.00;0.47;240449693#4_0;5.10;0.00;tripinfo_veh102 routing_veh102;245.00;veh102;1;3003.91;0.96;0.00;35.59;veh_passenger;;0;0.00
307.00;400084632#1_0;98.77;7.33;171.00;0.89;397524543_0;5.10;13.46;tripinfo_veh282 routing_veh282;136.00;veh282;1;998.80;0.97;0.00;13.42;veh_passenger;;0;0.00
309.00;269103489#3_0;36.30;13.10;165.00;0.32;48913907#0_0;5.10;13.49;tripinfo_veh273 routing_veh273;144.00;veh273;1;1578.28;0.97;0.00;14.77;veh_passenger;;0;0.00
310.00;320862699_0;103.19;7.67;39.00;0.39;-617290019_0;5.10;12.38;tripinfo_veh64 routing_veh64;271.00;veh64;1;2666.20;0.99;0.00;63.60;veh_passenger;;4;20.00
311.00;1180131814_0;50.59;13.17;124.00;0.34;45393791#1_0;5.10;0.00;tripinfo_veh205 routing_veh205;187.00;veh205;1;1987.07;1.03;0.00;44.97;veh_passenger;;1;13.00
311.00;338566787#5_0;34.48;13.57;182.00;0.43;397364884#1_1;5.10;0.00;tripinfo_veh301 routing_veh301;129.00;veh301;1;1459.11;0.98;0.00;17.32;veh_passenger;;0;0.00
313.00;242069299#1_0;20.53;2.57;102.00;0.66;300733514#2_0;5.10;0.00;tripinfo_veh168 routing_veh168;211.00;veh168;1;1999.32;1.00;0.00;43.76;veh_passenger;;2;10.00
315.00;402179134_1;14.52;9.97;191.00;0.99;549778902#1_1;5.10;0.00;tripinfo_veh315 routing_veh315;124.00;veh315;1;1108.99;1.09;0.00;21.61;veh_passenger;;0;0.00
316.00;-241308402_0;117.95;12.93;13.00;0.33;-484829767_0;5.10;2.81;tripinfo_veh21 routing_veh21;303.00;veh21;1;2843.41;1.01;0.00;62.12;veh_passenger;;2;12.00
316.00;485222915_0;44.73;2.80;219.00;0.03;-86134858#9_0;5.10;0.00;tripinfo_veh363 routing_veh363;97.00;veh363;1;766.93;1.08;0.00;25.04;veh_passenger;;1;3.00
318.00;-48556971#0_0;58.19;16.17;83.00;0.96;-314641202#5_0;5.10;0.00;tripinfo_veh136 routing_veh136;235.00;veh136;1;1930.42;1.23;0.00;122.22;veh_passenger;;2;73.00
319.00;453516157#0_0;23.78;11.70;95.00;0.29;241299728#0_0;0.20;0.00;tripinfo_veh157 routing_veh157;224.00;veh157;1;2416.25;1.12;0.00;45.91;veh_passenger;;0;0.00
319.00;402801839#4_0;36.35;14.52;109.00;0.42;40668076#1_0;0.20;0.00;tripinfo_veh180 routing_veh180;210.00;veh180;1;1942.95;1.08;0.00;64.47;veh_passenger;;2;14.00
322.00;1095231261_0;119.11;12.04;16.00;0.92;1095244323#0_0;5.10;0.00;tripinfo_veh25 routing_veh25;306.00;veh25;1;4457.47;0.87;0.00;40.47;veh_passenger;;0;0.00
323.00;1178046266_0;58.10;13.94;146.00;0.62;-476947029#1_0;5.10;3.05;tripinfo_veh241 routing_veh241;177.00;veh241;1;1618.44;1.10;0.00;39.19;veh_passenger;;1;1.00
324.00;29223186#2_0;15.31;10.66;13.00;0.94;475886425#3_1;5.10;0.00;tripinfo_veh20 routing_veh20;311.00;veh20;1;3257.54;1.02;0.00;50.05;veh_passenger;;1;3.00
325.00;304931613#6_0;2.88;9.55;18.00;0.51;402431111#1_0;5.10;0.00;tripinfo_veh29 routing_veh29;307.00;veh29;1;2519.61;0.93;0.00;42.74;veh_passenger;;1;8.00
325.00;404412742_0;12.18;10.00;31.00;0.84;45426150#2_0;0.20;0.00;tripinfo_veh50 routing_veh50;294.00;veh50;1;1925.12;0.85;0.00;117.29;veh_passenger;;8;62.00
325.00;-48548766#2_0;74.51;15.47;106.00;0.44;81508865#3_0;5.10;0.00;tripinfo_veh175 routing_veh175;219.00;veh175;1;2078.24;1.14;0.00;67.57;veh_passenger;;4;32.00
325.00;503636474#2_0;15.27;11.76;156.00;0.97;42207958#10_0;5.10;0.00;tripinfo_veh257 routing_veh257;169.00;veh257;1;1291.51;0.88;0.00;47.55;veh_passenger;;2;25.00
336.00;48538973#0_0;0.20;5.00;110.00;0.21;-48581489_0;5.10;15.28;tripinfo_veh182 routing_veh182;226.00;veh182;1;1815.68;1.10;0.00;88.77;veh_passenger;;5;49.00
338.00;338566779#1_0;128.85;21.86;64.00;0.66;289834540_0;5.10;0.00;tripinfo_veh105 routing_veh105;274.00;veh105;1;2940.84;0.89;0.00;45.00;veh_passenger;;1;15.00
340.00;-98607700_0;80.82;5.14;52.00;0.12;-50370774#1_0;5.10;0.00;tripinfo_veh86 routing_veh86;288.00;veh86;1;3136.85;0.98;0.00;43.56;veh_passenger;;1;2.00
340.00;48903065_0;112.86;11.09;124.00;0.94;532135453#0_0;5.10;0.00;tripinfo_veh204 routing_veh204;216.00;veh204;1;1826.63;0.87;0.00;54.39;veh_passenger;;2;17.00
342.00;305048624#0_0;48.56;15.36;243.00;0.51;510894188_0;5.10;0.00;tripinfo_veh402 routing_veh402;99.00;veh402;1;1018.32;1.14;0.00;30.29;veh_passenger;;1;4.00
343.00;48144960#4_0;25.05;13.51;2.00;0.79;48537876#0_0;5.10;14.03;tripinfo_veh2 routing_veh2;341.00;veh2;1;3598.41;1.01;0.00;80.39;veh_passenger;;4;28.00
346.00;269102410#1_1;67.16;14.42;166.00;0.12;-338566781#2_0;5.10;0.00;tripinfo_veh275 routing_veh275;180.00;veh275;1;1445.26;1.05;0.00;71.38;veh_passenger;;2;47.00
346.00;45393810#3_1;35.63;12.96;217.00;0.44;403660605#3_0;5.10;0.00;tripinfo_veh359 routing_veh359;129.00;veh359;1;1185.78;0.98;0.00;27.54;veh_passenger;;1;4.00
347.00;47198297#7_0;110.52;14.09;268.00;0.77;894843684_0;5.10;0.00;tripinfo_veh443 routing_veh443;79.00;veh443;1;870.31;1.06;0.00;14.78;veh_passenger;;1;2.00
348.00;406261770#6_1;102.23;5.74;89.00;0.93;48538987_1;5.10;0.00;tripinfo_veh146 routing_veh146;259.00;veh146;1;1286.18;0.73;0.00;49.33;veh_passenger;;2;10.00
349.00;40668068#12_0;122.97;13.74;83.00;0.36;-281865192_0;5.10;8.43;tripinfo_veh137 routing_veh137;266.00;veh137;1;2668.43;1.01;0.00;58.50;veh_passenger;;3;24.00
352.00;894588797_0;165.51;11.55;10.00;0.35;397470319#0_1;0.20;0.00;tripinfo_veh16 routing_veh16;342.00;veh16;1;3044.48;0.88;0.00;74.71;veh_passenger;;4;22.00
352.00;400014711#2_1;69.05;8.72;125.00;0.13;-48548015#1_0;5.10;11.84;tripinfo_veh207 routing_veh207;227.00;veh207;1;2376.57;1.07;0.00;55.04;veh_passenger;;3;16.00
353.00;712096992_0;51.11;13.88;58.00;0.69;-48548765#1_0;5.10;6.35;tripinfo_veh95 routing_veh95;295.00;veh95;1;3875.06;1.09;0.00;86.40;veh_passenger;;1;28.00
353.00;893268805_0;26.21;12.28;107.00;0.83;893245580#0_0;5.10;0.00;tripinfo_veh176 routing_veh176;246.00;veh176;1;1950.29;0.96;0.00;50.62;veh_passenger;;3;14.00
356.00;337895453#3_0;66.24;12.65;116.00;0.18;-305293739#1_0;4.03;6.58;tripinfo_veh192 routing_veh192;240.00;veh192;1;2930.60;0.97;0.00;39.18;veh_passenger;;1;6.00
357.00;-84012040_0;48.49;13.21;122.00;0.75;49222367#10_0;5.10;0.00;tripinfo_veh201 routing_veh201;235.00;veh201;1;2466.34;1.06;0.00;56.09;veh_passenger;;1;15.00
357.00;338566787#0_0;114.10;13.14;130.00;0.91;274985653#1_0;5.10;0.00;tripinfo_veh214 routing_veh214;227.00;veh214;1;2103.45;1.04;0.00;65.90;veh_passenger;;1;43.00
361.00;48859314#0_0;61.49;15.78;98.00;0.88;-1180352270_0;5.10;15.85;tripinfo_veh161 routing_veh161;263.00;veh161;1;2411.52;1.14;0.00;102.95;veh_passenger;;4;58.00
361.00;400015876_0;127.28;15.75;193.00;0.57;81508875#0_0;5.10;0.00;tripinfo_veh319 routing_veh319;168.00;veh319;1;1612.98;1.15;0.00;64.56;veh_passenger;;3;28.00
362.00;82884817#3_0;8.20;8.42;82.00;0.57;45393761#0_0;5.10;0.00;tripinfo_veh135 routing_veh135;280.00;veh135;1;2141.21;1.04;0.00;108.26;veh_passenger;;3;69.00
363.00;-346356362#2_0;57.33;11.68;139.00;0.26;476947029#0_0;5.10;0.00;tripinfo_veh230 routing_veh230;224.00;veh230;1;1457.40;1.11;0.00;68.83;veh_passenger;;1;27.00
363.00;240449700#0_0;20.08;12.37;183.00;0.22;474831747#0_1;5.10;0.00;tripinfo_veh303 routing_veh303;180.00;veh303;1;1922.96;1.07;0.00;69.37;veh_passenger;;2;28.00
365.00;257862138_0;40.65;12.91;123.00;0.55;42201260#3_1;5.10;0.00;tripinfo_veh203 routing_veh203;242.00;veh203;1;2835.51;0.95;0.00;48.28;veh_passenger;;2;14.00
366.00;45427977#3_1;79.27;11.86;31.00;0.24;-48963734#0_0;5.10;0.00;tripinfo_veh51 routing_veh51;335.00;veh51;1;4629.22;0.85;0.00;36.98;veh_passenger;;1;2.00
366.00;1180131814_0;50.59;13.65;46.00;0.16;-304931617_0;5.10;8.20;tripinfo_veh76 routing_veh76;320.00;veh76;1;2972.71;0.98;0.00;58.57;veh_passenger;;3;15.00
367.00;242069339#0_0;28.20;15.19;209.00;0.89;-402678848_0;5.10;15.36;tripinfo_veh345 routing_veh345;158.00;veh345;1;1498.77;1.11;0.00;45.01;veh_passenger;;1;12.00
367.00;402219376#1_0;89.58;17.32;231.00;0.57;535354981_0;5.10;0.00;tripinfo_veh382 routing_veh382;136.00;veh382;1;1108.99;1.08;0.00;56.31;veh_passenger;;2;22.00
368.00;478841481#3_0;37.52;12.77;50.00;0.54;-48537859_0;5.10;8.72;tripinfo_veh82 routing_veh82;318.00;veh82;1;3078.53;1.00;0.00;82.94;veh_passenger;;3;33.00
368.00;81508883#0_0;65.44;14.23;78.00;0.79;-48913922_0;5.10;14.34;tripinfo_veh128 routing_veh128;290.00;veh128;1;2978.82;1.03;0.00;69.83;veh_passenger;;2;27.00
369.00;281865192_0;65.09;6.97;271.00;0.16;40668082#5_0;5.10;0.00;tripinfo_veh449 routing_veh449;98.00;veh449;1;692.97;0.93;0.00;25.58;veh_passenger;;1;11.00
371.00;553308443#1_0;172.44;14.00;58.00;0.09;269102410#2_1;5.10;0.00;tripinfo_veh96 routing_veh96;313.00;veh96;1;3081.83;1.06;0.00;102.21;veh_passenger;;5;43.00
371.00;397470316_1;67.28;13.73;76.00;0.60;-241515834_0;5.10;14.22;tripinfo_veh125 routing_veh125;295.00;veh125;1;2730.02;1.02;0.00;82.42;veh_passenger;;5;27.00
373.00;241299710_0;50.19;8.85;177.00;0.86;473351314#0_0;5.10;16.59;tripinfo_veh292 routing_veh292;196.00;veh292;1;2447.95;1.19;0.00;49.45;veh_passenger;;2;14.00
374.00;558903818#1_2;9.13;22.54;43.00;0.77;-48913918#1_0;5.10;0.00;tripinfo_veh70 routing_veh70;331.00;veh70;1;3942.44;1.02;0.00;60.79;veh_passenger;;2;3.00
375.00;107405952#1_0;24.63;21.44;128.00;0.12;42456625#3_1;5.10;0.00;tripinfo_veh212 routing_veh212;247.00;veh212;1;2945.88;0.98;0.00;51.20;veh_passenger;;2;11.00
376.00;-242069318#0_0;41.69;14.48;146.00;0.02;257861000#5_0;5.10;0.00;tripinfo_veh242 routing_veh242;230.00;veh242;1;2910.65;1.13;0.00;38.19;veh_passenger;;0;0.00
378.00;-304931228#5_0;15.17;13.22;59.00;0.49;400016016_0;5.10;0.00;tripinfo_veh97 routing_veh97;319.00;veh97;1;3401.89;1.01;0.00;65.11;veh_passenger;;4;16.00
378.00;-91013813#1_0;40.51;14.22;132.00;0.50;45393772#2_1;5.10;0.00;tripinfo_veh218 routing_veh218;246.00;veh218;1;2611.02;1.09;0.00;68.00;veh_passenger;;2;7.00
378.00;548284680#1_0;16.53;10.30;265.00;0.79;-48556971#0_0;5.10;0.00;tripinfo_veh438 routing_veh438;113.00;veh438;1;689.15;1.32;0.00;74.53;veh_passenger;;3;39.00
379.00;405513786#2_0;169.32;6.92;134.00;0.09;-534903539#4_0;5.10;0.00;tripinfo_veh222 routing_veh222;245.00;veh222;1;3376.17;0.91;0.00;28.39;veh_passenger;;0;0.00
381.00;48903072_0;66.67;14.17;75.00;0.20;-744687095_0;5.10;5.73;tripinfo_veh124 routing_veh124;306.00;veh124;1;3176.50;1.03;0.00;74.28;veh_passenger;;4;19.00
384.00;553331427_0;11.65;14.66;99.00;0.68;492471758#1_0;5.10;0.00;tripinfo_veh163 routing_veh163;285.00;veh163;1;2269.91;1.08;0.00;73.57;veh_passenger;;6;21.00
385.00;242069304#1_0;35.79;13.19;199.00;0.54;91013806_0;5.10;0.00;tripinfo_veh329 routing_veh329;186.00;veh329;1;1875.97;1.01;0.00;24.16;veh_passenger;;0;0.00
385.00;337277951#0_0;6.01;9.02;224.00;0.81;399760675#1_1;5.10;0.00;tripinfo_veh370 routing_veh370;161.00;veh370;1;1321.55;1.12;0.00;46.61;veh_passenger;;2;9.00
389.00;399285452#1_0;64.33;7.91;54.00;0.92;247049837#1_0;5.10;0.00;tripinfo_veh88 routing_veh88;335.00;veh88;1;4016.27;1.04;0.00;43.08;veh_passenger;;2;3.00
389.00;45393819#3_0;52.63;11.96;136.00;0.88;-48548040#1_0;5.10;0.00;tripinfo_veh224 routing_veh224;253.00;veh224;1;4314.37;1.15;0.00;43.95;veh_passenger;;1;1.00
389.00;476099416#3_1;69.49;9.95;327.00;0.06;-924859462_0;5.10;6.72;tripinfo_veh542 routing_veh542;62.00;veh542;1;678.88;1.21;0.00;14.38;veh_passenger;;0;0.00
392.00;402795887_0;49.27;14.08;26.00;0.06;98607708#0_0;5.10;0.00;tripinfo_veh43 routing_veh43;366.00;veh43;1;3576.06;1.04;0.00;94.60;veh_passenger;;5;33.00
393.00;45393787#5_0;66.10;12.91;48.00;0.35;-241515830_0;5.10;13.99;tripinfo_veh79 routing_veh79;345.00;veh79;1;3677.81;1.01;0.00;77.69;veh_passenger;;4;8.00
394.00;-404261124_0;116.79;14.34;259.00;0.82;-402912987#0_0;5.10;0.00;tripinfo_veh428 routing_veh428;135.00;veh428;1;1234.53;1.05;0.00;30.19;veh_passenger;;1;2.00
395.00;402742811_0;6.70;11.07;234.00;0.55;641240400#2_1;5.10;0.00;tripinfo_veh387 routing_veh387;161.00;veh387;1;1180.67;0.85;0.00;25.88;veh_passenger;;1;1.00
395.00;552440232_0;40.90;12.81;250.00;0.87;42207958#0_0;5.10;0.00;tripinfo_veh413 routing_veh413;145.00;veh413;1;1431.80;0.96;0.00;12.73;veh_passenger;;0;0.00
396.00;529883376#1_1;29.10;8.84;256.00;0.24;-1240650228_0;5.10;12.63;tripinfo_veh424 routing_veh424;140.00;veh424;1;1714.28;1.11;0.00;32.99;veh_passenger;;1;1.00
398.00;1177721348_0;71.88;14.18;186.00;0.81;-404316078_0;5.10;14.48;tripinfo_veh307 routing_veh307;212.00;veh307;1;2142.45;1.04;0.00;48.85;veh_passenger;;1;22.00
398.00;1106637267#2_0;19.11;13.64;201.00;0.73;-444786635_0;5.10;2.79;tripinfo_veh332 routing_veh332;197.00;veh332;1;1916.95;1.00;0.00;49.68;veh_passenger;;1;16.00
398.00;641603087#11_0;0.23;10.92;230.00;0.78;952365289_0;5.10;0.00;tripinfo_veh380 routing_veh380;168.00;veh380;1;1239.26;0.81;0.00;50.65;veh_passenger;;2;26.00
401.00;42456625#0_0;41.67;13.99;133.00;0.29;612320334#4_0;5.10;0.00;tripinfo_veh220 routing_veh220;268.00;veh220;1;3002.35;1.07;0.00;74.84;veh_passenger;;3;13.00
403.00;552447260_0;63.82;11.24;68.00;0.44;549772919#4_0;5.10;0.00;tripinfo_veh112 routing_veh112;335.00;veh112;1;2759.24;0.87;0.00;87.53;veh_passenger;;5;24.00
404.00;91011057#2_0;252.95;12.89;69.00;0.23;-242069258_0;5.10;14.02;tripinfo_veh114 routing_veh114;335.00;veh114;1;5312.84;1.01;0.00;27.95;veh_passenger;;0;0.00
405.00;1118423674#0_0;102.60;7.77;43.00;0.17;247044712#1_0;5.10;0.00;tripinfo_veh71 routing_veh71;362.00;veh71;1;2409.97;1.02;0.00;95.80;veh_passenger;;5;49.00
406.00;-406209024_0;65.04;13.83;42.00;0.38;-305047845#3_0;5.10;0.00;tripinfo_veh69 routing_veh69;364.00;veh69;1;3970.02;1.04;0.00;87.61;veh_passenger;;2;25.00
407.00;403665352_0;35.59;12.16;187.00;0.61;894588812_0;5.10;13.28;tripinfo_veh309 routing_veh309;220.00;veh309;1;2116.14;0.96;0.00;60.74;veh_passenger;;3;18.00
410.00;542393635#1_0;75.91;11.97;101.00;0.26;-48102262#7_0;5.10;0.00;tripinfo_veh167 routing_veh167;309.00;veh167;1;2773.79;0.91;0.00;68.78;veh_passenger;;2;19.00
411.00;86134858#1_0;165.39;7.93;290.00;0.46;338566780#1_0;5.10;0.00;tripinfo_veh480 routing_veh480;121.00;veh480;1;1169.29;1.04;0.00;30.63;veh_passenger;;2;8.00
412.00;45426150#2_0;0.20;16.09;19.00;0.90;91013800#0_0;5.10;16.37;tripinfo_veh30 routing_veh30;393.00;veh30;1;3025.23;1.18;0.00;191.92;veh_passenger;;7;115.00
413.00;480541133#1_0;87.61;13.29;157.00;0.16;-305085227_0;3.22;0.00;tripinfo_veh260 routing_veh260;256.00;veh260;1;3222.23;1.30;0.00;76.51;veh_passenger;;3;40.00
414.00;48903086#0_0;22.76;12.51;143.00;0.04;-91013808_0;5.10;12.66;tripinfo_veh237 routing_veh237;271.00;veh237;1;2144.06;0.91;0.00;76.19;veh_passenger;;4;38.00
