tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
2300.00;400449634#3_0;94.15;16.04;2094.00;0.83;61426871#0_0;5.10;0.00;tripinfo_veh3470 routing_veh3470;206.00;veh3470;1;1697.28;1.17;0.00;83.86;veh_passenger;;3;30.00
2300.00;542402344#0_0;51.28;9.55;2096.00;0.42;-45429548#1_0;5.10;16.41;tripinfo_veh3474 routing_veh3474;204.00;veh3474;1;1908.06;1.18;0.00;44.29;veh_passenger;;2;20.00
2301.00;305297485_0;22.50;8.39;1850.00;0.53;338566786#12_0;5.10;0.00;tripinfo_veh3066 routing_veh3066;451.00;veh3066;1;5190.24;1.10;0.00;102.97;veh_passenger;;4;40.00
2301.00;420553738_0;25.70;10.88;2092.00;0.64;304931274#4_0;5.10;0.00;tripinfo_veh3467 routing_veh3467;209.00;veh3467;1;1543.98;0.83;0.00;71.95;veh_passenger;;3;31.00
2302.00;86484894#1_0;71.84;12.95;1900.00;0.47;1148541133#5_0;5.10;0.00;tripinfo_veh3149 routing_veh3149;402.00;veh3149;1;3584.41;1.02;0.00;132.25;veh_passenger;;8;52.00
2302.00;-453516156_0;58.05;2.48;1978.00;0.65;548305060#0_0;5.10;0.00;tripinfo_veh3278 routing_veh3278;324.00;veh3278;1;4019.61;0.92;0.00;55.69;veh_passenger;;2;5.00
2303.00;403869582#3_0;50.65;6.96;1674.00;0.67;-304930427_0;5.10;7.75;tripinfo_veh2774 routing_veh2774;629.00;veh2774;1;4613.82;0.93;0.00;114.25;veh_passenger;;5;36.00
2303.00;42207927#2_0;34.88;9.25;1890.00;0.72;-242069325_0;5.10;3.24;tripinfo_veh3132 routing_veh3132;413.00;veh3132;1;3561.38;1.17;0.00;148.07;veh_passenger;;6;44.00
2304.00;39525774#6_0;34.27;7.27;1755.00;0.24;542406428#0_0;5.10;12.56;tripinfo_veh2909 routing_veh2909;549.00;veh2909;1;3984.68;0.90;0.00;157.64;veh_passenger;;9;73.00
2304.00;49217104#1_0;20.16;8.00;1956.00;0.37;97279526#0_0;5.10;0.00;tripinfo_veh3242 routing_veh3242;348.00;veh3242;1;3159.35;1.04;0.00;108.15;veh_passenger;;4;57.00
