step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,3,0,0.0,-11.033289485296034,0.0,10.959850002800474,-0.4965133305328588,-3.677763161765345,2235.3569306112568,237.6634833815081,712.9904501445243,0.0,0.07880541924867666,0.0,0,0.0,0.9540543119470083,-0.4965133305328588,0,0.0,-11.033289485296034
10.0,4,0,0.0,14.53412492336317,0.0,10.271925176015472,0.20027016963576894,3.6335312308407923,9971.812067470815,795.1466953470997,3180.586781388399,0.0,0.10347484889146331,0.0,0,0.0,0.9645351566478061,0.20027016963576894,0,0.0,14.53412492336317
15.0,5,1,1.0,-8.847511463723977,0.2,4.949016193281419,-0.3969886150527778,-1.7695022927447954,7040.922633644439,449.1743316485528,2245.871658242764,0.0,0.10347484889146331,0.027067994802945,1,1.0,0.47624036149572496,-0.27551514497492896,1,1.0,-1.5920494211685945
20.0,6,2,11.0,-5.229114219771066,1.8333333333333333,6.16822753929068,-0.15052345660969765,-0.871519036628511,10143.808184284819,539.2625130928752,3235.5750785572513,0.023916578972543765,0.12814427853425,0.05413598960589,2,11.0,0.5301762943024481,-0.09085891028946058,2,11.0,-0.7076386477580505
25.0,7,2,21.0,8.566712957063363,3.0,7.165769908476051,0.044768099049076734,1.2238161367233376,15471.707904642753,704.9948956030718,4934.964269221502,0.023916578972543765,0.15521227333719498,0.05413598960589,2,21.0,0.6215704053081722,0.0435571947251446,2,21.0,5.364847540197548
30.0,8,2,31.0,0.5178312067044608,3.875,6.412085559192095,-0.4002773400672597,0.0647289008380576,17819.438372496825,710.4605599083633,5683.684479266907,0.04783315794508753,0.15521227333719498,0.05413598960589,2,31.0,0.4916350836836359,-0.8396553912956737,2,31.0,-30.880683273523
35.0,7,1,1.0,3.4757029711200254,0.14285714285714285,4.238339696813099,-0.05557182790402689,0.49652899587428934,15112.15295398056,688.6098754291239,4820.269128003867,0.023916578972543765,0.12814427853425,0.027067994802945,1,19.0,0.28558271343402464,-0.4319668918935185,1,19.0,-8.888122347502067
40.0,6,2,8.0,33.66938551550556,1.3333333333333333,4.635360786056685,-0.12781740227229008,5.61156425258426,20507.25510064118,1090.1731692922397,6541.039015753438,0.052687038988408846,0.07400828892835998,0.04933885928557332,2,8.0,0.022135239989707633,-1.4797924351890088,2,8.0,-2.2004613435811176
45.0,7,3,22.0,-17.2456051253261,3.142857142857143,7.2490380971194766,-0.2582965684410392,-2.463657875046586,10093.876646358522,459.95242269120996,3219.66695883847,0.052687038988408846,0.12814427853424998,0.07400828892835998,3,22.0,0.36289824853866837,-0.1927587643907892,3,22.0,-10.344123602431491
50.0,8,0,0.0,-39.70116323303189,0.0,7.870365916576085,-0.21497857557158617,-4.962645404128987,12677.328695827111,505.44688790373925,4043.575103229914,0.026343519494204423,0.15521227333719498,0.0,0,19.0,0.6342683631902689,-0.6220919790237295,0,19.0,-52.1619368740377
