step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,3,0,0.0,-14.629010338663594,0.0,13.17032066946714,-0.4965133305328588,-4.876336779554531,2235.3569306112568,237.6634833815081,712.9904501445243,0.0,0.0777650394207411,0.0,0,0.0,0.9640565512906497,-0.4965133305328588,0,0.0,-14.629010338663594
10.0,4,0,0.0,23.89236689640154,0.0,13.317415176015473,0.20027016963576916,5.973091724100385,12148.784707028233,968.7261000951702,3874.9044003806807,0.0,0.10207701063536719,0.0,0,0.0,0.9681010570007456,0.20027016963576916,0,0.0,23.89236689640154
15.0,5,1,1.0,4.273775985984854,0.2,8.631202344298421,-0.24463997693421263,0.8547551971969709,11215.640370718273,715.479662923407,3577.398314617035,0.023373223635003743,0.10207701063536719,0.026726534103057514,1,1.0,0.48745471594319584,-0.4046663849517468,1,1.0,-6.219175748490261
20.0,5,2,11.0,6.41752475052564,2.2,7.652492090879247,-0.005819582655893108,1.283504950105128,11184.282941461877,713.4808333309517,3567.4041666547582,0.023373223635003743,0.10207701063536719,0.05345306820611503,2,11.0,0.4771432926356004,0.10792358994849782,2,11.0,10.677068806436377
25.0,6,1,2.0,1.4734780247563846,0.3333333333333333,7.313623564721041,-0.02286334780594701,0.24557967079273077,10126.840215590542,538.3537921178508,3230.122752707105,0.0,0.12638898184999328,0.026726534103057514,1,10.0,0.5546355563181219,-0.400832526726727,1,10.0,-11.150646289639873
30.0,7,3,12.0,-29.62800036341552,1.7142857142857142,5.685539249793576,-0.9170242628372353,-4.232571480487931,7871.140895201406,358.67164280580073,2510.701499640605,0.023674242424242428,0.12397441896156185,0.07535047653230968,3,20.0,0.2234779360463937,-1.104717634384103,3,20.0,-21.545172011230388
35.0,6,3,17.0,29.372006102568193,2.8333333333333335,3.992447429709306,0.30534470581084977,4.895334350428032,18584.61247613126,987.9668532231841,5927.801119339105,0.047348484848484855,0.09724788485850433,0.07293591364387825,3,17.0,0.01894285393978375,-0.21285604353842502,3,17.0,-0.7094077399425577
40.0,5,1,4.0,21.199296223126115,0.8,4.26500820386335,0.8961712875770041,4.239859244625223,15916.223883903724,1015.3431052180811,5076.715526090406,0.023674242424242428,0.07293591364387825,0.024311971214626082,1,19.0,0.11897560048278927,0.9211351022735252,1,19.0,7.977458988593709
45.0,6,0,0.0,52.610482138642205,0.0,12.370799120581834,0.6285358831006455,8.7684136897737,24142.51447014429,1283.3904286993745,7700.342572196247,0.07011967090501121,0.05345306820611503,0.0,0,0.0,0.9677412379399418,-0.49928908664733207,0,0.0,-10.37214966609904
50.0,7,0,0.0,-26.578342869321368,0.0,12.064562598596059,-0.5172640565837179,-3.7969061241887667,11862.377093354222,540.5131515242739,3783.5920606699174,0.07011967090501121,0.10449157352379862,0.0,0,0.0,0.8547893656207215,-1.082151109564196,0,0.0,-41.393979489298864
55.0,7,2,3.0,-15.670352655228665,0.42857142857142855,8.041053983818616,-0.6743400434567127,-2.2386218078898095,10254.507926525781,467.26050582288474,3270.8235407601933,0.023373223635003743,0.1555300788414822,0.05345306820611503,2,3.0,0.5211146497733463,-0.7313864150010283,2,3.0,-13.468536688857023
60.0,8,3,17.0,-28.343023681520076,2.125,7.0390125603356015,-0.5080340502222028,-3.542877960190009,12485.594388359405,497.8211738321552,3982.5693906572415,0.046746447270007485,0.15794464172991365,0.08017960230917254,3,17.0,0.3169695965061629,-0.5294871719736549,3,17.0,-20.18865580953555
65.0,10,4,37.0,-16.044401019401104,3.7,7.232117590757424,-0.4903559124263367,-1.6044401019401104,19383.988188825664,618.2879853705236,6182.879853705237,0.023373223635003743,0.2332951182622233,0.10690613641223005,4,37.0,0.4634502209478541,-0.5611970906796131,4,37.0,-20.65863660016407
70.0,11,5,60.0,10.796815946626522,5.454545454545454,5.693013111517678,-0.16414050407612937,0.9815287224205929,26135.849399692874,757.862592542885,8336.488517971735,0.023373223635003743,0.23570968115065474,0.13363267051528757,5,60.0,0.30798871211629064,-0.2767633063722618,5,60.0,-3.5740987726522704
75.0,13,6,89.0,-13.745931676914426,6.846153846153846,6.322940638147524,-0.43712782709999765,-1.057379359762648,23287.402558573158,571.3834380586557,7427.984694762523,0.07011967090501121,0.26243621525371225,0.16035920461834507,6,89.0,0.31214442704427336,-0.5071141936598428,6,89.0,-12.35844711671816
80.0,15,8,124.0,18.034569402234986,8.266666666666667,5.936678315504256,-0.05787049061320004,1.2023046268156656,46446.81528677714,987.6546665792517,14814.819998688778,0.046746447270007485,0.34020125467445334,0.2138122728244601,8,124.0,0.34866367585132085,-0.1532421347407988,8,124.0,-1.8405547831280018
85.0,16,9,166.0,35.10912353563592,10.375,5.249172707907679,-0.1605430315929998,2.1943202209772448,42074.7065873676,838.7761060188042,13420.417696300869,0.046746447270007485,0.34020125467445334,0.2405388069275176,9,166.0,0.2322068697532626,-0.31062476892122065,9,166.0,6.319544479792378
90.0,15,10,215.0,16.70268682848757,14.333333333333334,4.512941442410161,0.020629087817970328,1.1135124552325049,37945.481031997886,806.8955903310887,12103.43385496633,0.09349289454001497,0.2915773122452012,0.26726534103057514,10,215.0,0.08542571608192011,-0.0698848209682177,10,215.0,-9.445953176350237
95.0,18,10,265.0,-52.164401130798325,14.722222222222221,5.724616450439107,-0.41194635624242765,-2.8980222850443513,41889.94665332909,742.3090284952367,13361.562512914263,0.07011967090501121,0.39606888576899985,0.26726534103057514,10,265.0,0.2759443755751668,-0.46726753884952316,10,265.0,-54.13493255743141
100.0,19,12,320.0,27.670590384161482,16.842105263157894,4.304805469887705,-0.19528003716898779,1.4563468623242888,47591.45793321779,798.9545669436576,15180.136771929498,0.0,0.47383392518974093,0.32071840923669015,12,320.0,0.2631637905837311,-0.17298958858846164,12,320.0,33.6875201569535
