step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,3,0,0.0,-11.033289485296034,0.0,10.959850002800474,-0.4965133305328588,-3.677763161765345,2235.3569306112568,237.6634833815081,712.9904501445243,0.0,0.07187051121875966,0.0,0,0.0,0.9540543119470083,-0.4965133305328588,0,0.0,-11.033289485296034
10.0,4,0,0.0,14.53412492336317,0.0,10.271925176015472,0.20027016963576894,3.6335312308407923,9971.812067470815,795.1466953470997,3180.586781388399,0.0,0.09624410973684489,0.0,0,0.0,0.9645351566478061,0.20027016963576894,0,0.0,14.53412492336317
15.0,5,1,1.0,-12.627954288213806,0.2,5.103411008835379,-1.5496982915416513,-2.525590857642761,4382.980807327619,279.6109034596174,1398.0545172980871,0.0,0.09624410973684489,0.02374845635033723,1,1.0,0.49166586845660004,-1.7164022405860209,1,1.0,-5.372492245658423
20.0,6,2,11.0,-5.229114219771066,1.8333333333333333,6.16822753929068,-0.15058318344264318,-0.871519036628511,10143.808184284819,539.2625130928752,3235.5750785572513,0.027289597205545246,0.12061770825493011,0.04749691270067446,2,11.0,0.5301762943024481,-0.09093058248899524,2,11.0,-0.7076386477580505
25.0,7,2,21.0,8.566712957063363,3.0,7.165769908476051,0.044768099049076734,1.2238161367233376,15471.707904642753,704.9948956030718,4934.964269221502,0.027289597205545246,0.14436616460526733,0.04749691270067446,2,21.0,0.6215704053081722,0.0435571947251446,2,21.0,5.364847540197548
30.0,7,2,31.0,-9.368213842825995,4.428571428571429,5.9648946162472045,-0.3946114276103413,-1.3383162632608563,17819.438372496825,811.9549256095581,5683.684479266907,0.027289597205545246,0.14436616460526733,0.04749691270067446,2,31.0,0.5285670567893049,-0.8682727769948545,2,31.0,-47.1523746949329
35.0,7,1,1.0,-2.008535445998109,0.14285714285714285,4.375361203422611,-0.050760245219318226,-0.28693363514258696,13201.485592312252,601.5482161335466,4210.837512934826,0.027289597205545246,0.12061770825493011,0.02374845635033723,1,19.0,0.3069509498981309,-0.3571623232763904,1,19.0,-9.513306268604499
40.0,6,2,8.0,5.264563700708177,1.3333333333333333,3.240664796973102,-0.43911850175871964,0.8774272834513628,12122.701634462755,644.4582484400638,3866.7494906403826,0.051953449709060684,0.07312079555425564,0.04874719703617043,2,8.0,0.048203448230900954,-1.5004206229968882,2,8.0,-4.89227638337798
45.0,8,3,22.0,-6.659812995511165,2.75,5.834403190519133,-0.12589582689486908,-0.8324766244388956,13917.727192195653,554.9144362886402,4439.315490309122,0.07793017456359103,0.12061770825493008,0.07312079555425564,3,22.0,0.3628996221004268,-0.19277830397898793,3,22.0,-10.344117226006933
50.0,9,3,37.0,21.376632517919887,4.111111111111111,7.09894331644605,0.10299848361699916,2.3751813908799875,23693.379153841513,839.7033963692315,7557.330567323086,0.051953449709060684,0.16873976312335257,0.07312079555425564,3,37.0,0.5358388010024326,-0.09447623498604761,3,37.0,6.220357988186027
55.0,10,0,0.0,-6.803578274883468,0.0,6.018706319105292,-0.2509194166544317,-0.6803578274883468,20007.174232599315,638.1562790523551,6381.5627905235515,0.051953449709060684,0.16873976312335257,0.0,0,29.0,0.5255711378321145,-0.6342098723804919,0,29.0,-22.481260788625093
60.0,11,2,5.0,20.597009135456396,0.45454545454545453,7.236660148147859,-0.22158027881932246,1.8724553759505822,27764.922169404228,805.0793709353704,8855.873080289075,0.08055591926562083,0.16811462095560456,0.04749691270067446,2,5.0,0.5363675952193903,-0.8051919792127882,2,5.0,-20.628916727575053
65.0,12,3,18.0,-15.004312169822091,1.5,7.486360135256176,-0.24016818640782236,-1.2503593474851742,28289.943681767156,751.9552435100708,9023.462922120849,0.08186879161663574,0.19186307730594176,0.07124536905101168,3,18.0,0.5358754427454767,-0.628945038408806,3,18.0,-46.22308991409221
