step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,6,0,0.0,9.562533023112138,0.0,9.276702334507693,-0.09350110350642342,1.593755503852023,12676.500050040673,673.8806463619602,4043.283878171761,0.0,0.03671275273522317,0.0,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,0.8698308936703801,-0.11847222412761749,0,0.0,9.56253302311214
10.0,9,0,0.0,38.99410145323418,0.0,9.901751988743586,0.2862295082141272,4.332677939248242,22383.682575190825,793.2693336444008,7139.4240027996075,0.006171620420657648,0.055071172414923424,0.0,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,0.9549564420522787,0.43076599416776956,0,0.0,38.99410145323418
15.0,11,1,1.0,-13.255511876281641,0.09090909090909091,9.118607386244175,-0.5725322195635587,-1.2050465342074217,15656.207684372082,453.9719555300969,4993.691510831066,0.012343240841315295,0.05516480003192455,0.006128652676995489,0,0.0,0.6834817238419086,-1.3629164889948824,0,0.0,0.6834817238419086,-1.3629164889948824,1,1.0,0.6834817238419086,-1.3629164889948824,0,0.0,0.6834817238419086,-1.3629164889948824,1,1.0,-34.26988385963364
20.0,15,2,8.0,28.20344091427095,0.5333333333333333,7.063442927605227,-0.0695596387095617,1.88022939428473,32497.59788138695,691.0312101918336,10365.468152877504,0.019568674367326858,0.0867990851234955,0.012296010087692155,0,0.0,0.6320733264587568,-0.048138018560809764,1,2.0,0.6320733264587568,-0.048138018560809764,1,6.0,0.6320733264587568,-0.048138018560809764,0,0.0,0.6320733264587568,-0.048138018560809764,2,8.0,11.890002554401857
25.0,20,5,19.0,50.19502144418454,0.95,6.532439665353577,0.028385742154675864,2.509751072209227,50357.45894763434,803.1016405435805,16062.03281087161,0.025423301928498985,0.09783844366018306,0.030693134501093584,3,7.0,0.5935007795197649,-0.09837651400479314,2,12.0,0.5935007795197649,-0.09837651400479314,0,0.0,0.5935007795197649,-0.09837651400479314,0,0.0,0.5935007795197649,-0.09837651400479314,5,19.0,10.096186348610969
30.0,22,8,52.0,-49.36063091310605,2.3636363636363638,5.229187827499728,-0.5864380151099151,-2.243665041504821,34126.01923853785,494.77879457223304,10885.133480589127,0.03903755605167816,0.11720386678408284,0.04897333338965749,6,30.0,0.5003595925436671,-0.6206967071692086,2,22.0,0.5003595925436671,-0.6206967071692086,0,0.0,0.5003595925436671,-0.6206967071692086,0,2.0,0.5003595925436671,-0.6206967071692086,8,54.0,-42.00955036460766
35.0,27,8,38.0,116.05238872329356,1.4074074074074074,5.305167455212804,0.4277079776467196,4.298236619381243,81673.75855685712,964.8450560814209,26050.816514198366,0.03219861636353002,0.12923097172692058,0.048794604175577204,6,50.0,0.5849664719771976,0.027289212891860475,0,13.0,0.5849664719771976,0.027289212891860475,0,0.0,0.5849664719771976,0.027289212891860475,2,6.0,0.5849664719771976,0.027289212891860475,8,69.0,33.92606133567819
40.0,28,4,36.0,98.6383475846994,1.2857142857142858,6.141275194916871,-0.052309406449265454,3.5227981280249794,81999.84308679916,934.0962239995384,26154.694271987082,0.05994386604082763,0.15730304520715413,0.024405598831627212,1,47.0,0.6334732959196742,0.09948683839253802,0,2.0,0.6334732959196742,0.09948683839253802,0,2.0,0.6334732959196742,0.09948683839253802,3,20.0,0.6334732959196742,0.09948683839253802,4,71.0,71.26020179549175
45.0,29,4,30.0,-3.4016991290403418,1.0344827586206897,5.961592957292371,-0.19337933177476124,-0.11729996996690895,79017.50809496344,869.0865597715278,25203.51023337431,0.06800591249568314,0.15970772666407382,0.024405598831627212,1,32.0,0.5156924655671475,-0.3402410064105508,0,2.0,0.5156924655671475,-0.3402410064105508,0,0.0,0.5156924655671475,-0.3402410064105508,3,26.0,0.5156924655671475,-0.3402410064105508,4,60.0,-13.84074134346009
50.0,30,4,36.0,155.78561584280408,1.2,7.139999203213692,0.3275853918294488,5.192853861426801,96581.53343770723,1026.8501604522787,30805.50481356836,0.09912696599553816,0.1599344979555112,0.02664577953321129,1,29.0,0.5851287552104192,0.23483367966651875,1,3.0,0.5851287552104192,0.23483367966651875,1,4.0,0.5851287552104192,0.23483367966651875,1,17.0,0.5851287552104192,0.23483367966651875,4,53.0,119.42463653846293
