waiting_time,system_total_waiting_time
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
0.0,1367867.0
