Steps,Total Reward,s4,s1,s2,s3
1,0.0,0.0,,,
2,0.0,0.0,,,
3,-0.01,-0.01,,,
4,-0.1,-0.1,,,
5,0.009999999999999995,0.009999999999999995,,,
6,-0.1,-0.1,,,
7,0.03,0.03,,,
8,-0.01999999999999999,-0.01999999999999999,,,
9,0.19,0.19,,,
10,0.0,0.0,,,
11,-0.03,-0.03,,,
12,-0.14,-0.14,,,
13,-0.19999999999999998,-0.19999999999999998,,,
14,-0.22999999999999998,-0.22999999999999998,,,
15,-0.29000000000000004,-0.29000000000000004,,,
16,-0.35,-0.35,,,
17,-0.41999999999999993,-0.41999999999999993,,,
18,-0.49,-0.49,,,
19,-0.5,-0.5,,,
20,-0.5500000000000003,-0.5500000000000003,,,
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-0.01,0.0,0.0,0.0,-0.01
4,-0.06999999999999999,0.0,0.0,-0.02,-0.049999999999999996
5,-0.22999999999999998,-0.01,-0.07,-0.09999999999999999,-0.05
6,-0.22000000000000003,-0.060000000000000005,-0.16999999999999998,-0.1,0.11
7,-0.08000000000000002,-0.01999999999999999,-0.15000000000000002,0.09,0.0
8,0.21,0.06,0.06,0.11,-0.02
9,0.14,-0.08,0.2,0.0,0.02
10,-0.2,-0.15000000000000002,0.04000000000000001,-0.06,-0.03
11,-0.6499999999999999,-0.14999999999999997,-0.21,-0.22999999999999998,-0.06
12,-0.7200000000000001,0.06999999999999995,-0.32,-0.34,-0.13
13,-0.6799999999999997,0.34,-0.39,-0.47999999999999987,-0.15
14,-0.8000000000000002,0.0,-0.09000000000000008,-0.56,-0.15000000000000002
15,-0.32000000000000006,-0.01,0.2500000000000001,-0.6800000000000002,0.12
16,-0.3799999999999998,-0.01,0.04999999999999993,-0.6999999999999997,0.28
17,-0.42000000000000026,0.0,-0.13,-0.2400000000000002,-0.05000000000000002
18,0.20000000000000012,-0.08,-0.05999999999999994,0.33000000000000007,0.010000000000000009
19,-0.13999999999999996,-0.18000000000000002,-0.30000000000000004,0.3700000000000001,-0.03
20,-0.2900000000000003,-0.08999999999999997,-0.30000000000000004,0.1599999999999997,-0.06
