Steps,Total Reward,s1,s2,s3,s4
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,-0.05,-0.02,0.0,-0.02,-0.01
5,-0.24,-0.05,-0.06,-0.02,-0.11
6,-0.43,-0.09,-0.18,0.010000000000000002,-0.16999999999999998
7,-0.04000000000000008,0.09,-0.040000000000000036,-0.05,-0.040000000000000036
8,0.5800000000000001,0.05,0.26,0.06,0.21000000000000002
9,-0.15000000000000002,0.0,-0.009999999999999998,0.02,-0.16000000000000003
10,-0.32,-0.06999999999999999,0.03,-0.03,-0.25
11,-0.57,-0.19999999999999998,-0.02,-0.1,-0.25
12,-0.4099999999999999,-0.3,-0.06,-0.13,0.08000000000000007
13,0.24000000000000002,-0.09999999999999998,0.04,-0.14999999999999997,0.44999999999999996
14,0.21999999999999995,0.12,0.02,0.08999999999999997,-0.010000000000000009
15,0.4099999999999999,0.22999999999999993,-0.05,0.3,-0.07
16,-0.1399999999999999,-0.06999999999999995,0.010000000000000009,-0.05,-0.02999999999999997
17,-0.38,-0.10000000000000003,-0.13,-0.039999999999999994,-0.10999999999999999
18,-0.6900000000000002,-0.16000000000000003,-0.16999999999999998,-0.16000000000000003,-0.20000000000000007
19,-0.4099999999999999,-0.010000000000000009,0.0,-0.19999999999999996,-0.19999999999999996
20,-0.2300000000000001,0.010000000000000009,0.22999999999999998,-0.27,-0.20000000000000007
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-0.01,0.0,0.0,0.0,-0.01
6,-0.13,-0.04,-0.02,0.0,-0.07
7,-0.07999999999999999,-0.049999999999999996,-0.06,0.0,0.03
8,0.06999999999999999,0.039999999999999994,0.04,0.0,-0.009999999999999995
9,-0.08,0.030000000000000002,0.02,-0.03,-0.1
10,-0.030000000000000013,-0.02,0.0,-0.07,0.06
11,-0.32999999999999996,-0.13999999999999999,-0.06,-0.19999999999999998,0.07
12,-0.68,-0.2,-0.15000000000000002,-0.2,-0.13
13,-0.44999999999999996,-0.19999999999999996,-0.26,0.020000000000000018,-0.010000000000000009
14,0.11999999999999988,0.019999999999999907,-0.30000000000000004,0.27,0.13
15,-0.05000000000000003,0.17000000000000004,-0.33000000000000007,0.09,0.02
16,-0.7,-0.24,-0.3999999999999999,-0.020000000000000018,-0.039999999999999994
17,-0.51,-0.18000000000000005,-0.010000000000000009,-0.14,-0.18
18,-0.019999999999999907,-0.04999999999999993,0.49,-0.20999999999999996,-0.25
19,-0.6700000000000002,-0.21000000000000008,-0.030000000000000027,-0.18000000000000005,-0.25
20,-0.6699999999999998,-0.34999999999999987,-0.19999999999999996,-0.31999999999999995,0.19999999999999996
