Steps,Total Reward,s1,s2,s3,s4
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,-0.05,-0.02,0.0,-0.02,-0.01
5,-0.24,-0.05,-0.06,-0.02,-0.11
6,-0.43,-0.09,-0.18,0.010000000000000002,-0.16999999999999998
7,-0.04000000000000008,0.09,-0.040000000000000036,-0.05,-0.040000000000000036
8,0.5800000000000001,0.05,0.26,0.06,0.21000000000000002
9,-0.15000000000000002,0.0,-0.009999999999999998,0.02,-0.16000000000000003
10,-0.32,-0.06999999999999999,0.03,-0.03,-0.25
11,-0.2899999999999999,-0.19999999999999998,-0.02,-0.1,0.030000000000000027
12,-0.19,-0.3,-0.06,-0.13,0.3
13,-0.1499999999999999,-0.09999999999999998,-0.09999999999999999,-0.14999999999999997,0.2
14,0.23999999999999996,0.12,0.009999999999999981,0.10999999999999999,0.0
15,0.3899999999999999,0.029999999999999916,0.1,0.27999999999999997,-0.02
16,-0.04999999999999998,-0.10999999999999999,0.060000000000000005,0.0,0.0
17,-0.19,-0.15000000000000002,0.01,-0.030000000000000002,-0.02
18,-0.3399999999999999,-0.16999999999999993,-0.01,-0.15999999999999998,0.0
19,-0.59,-0.19999999999999996,-0.049999999999999996,-0.26,-0.07999999999999999
20,-0.24,0.0,-0.08000000000000002,-0.21999999999999997,0.06
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-0.01,0.0,0.0,0.0,-0.01
6,-0.13,-0.04,-0.02,0.0,-0.07
7,-0.07999999999999999,-0.049999999999999996,-0.06,0.0,0.03
8,0.06999999999999999,0.039999999999999994,0.04,0.0,-0.009999999999999995
9,-0.08,0.030000000000000002,0.02,-0.03,-0.1
10,-0.06000000000000001,-0.05,0.0,-0.07,0.06
11,-0.32,-0.13,-0.06,-0.19999999999999998,0.07
12,-0.68,-0.2,-0.15000000000000002,-0.2,-0.13
13,-0.44999999999999996,-0.19999999999999996,-0.26,0.020000000000000018,-0.010000000000000009
14,0.10999999999999999,0.010000000000000009,-0.30000000000000004,0.27,0.13
15,-0.02000000000000012,0.19999999999999996,-0.33000000000000007,0.09,0.02
16,-0.71,-0.25,-0.3999999999999999,-0.020000000000000018,-0.039999999999999994
17,-0.51,-0.17999999999999994,-0.010000000000000009,-0.14,-0.18
18,-0.040000000000000036,-0.07000000000000006,0.49,-0.20999999999999996,-0.25
19,-0.6900000000000002,-0.2300000000000001,-0.030000000000000027,-0.18000000000000005,-0.25
20,-0.6799999999999998,-0.3599999999999999,-0.19999999999999996,-0.31999999999999995,0.19999999999999996
