Steps,Total Reward,s2,s1,s3,s4
1,0.0,0.0,,,
2,0.0,0.0,,,
3,-0.01,-0.01,,,
4,-0.1,-0.1,,,
5,-0.09999999999999999,-0.09999999999999999,,,
6,-0.1,-0.1,,,
7,0.12,0.12,,,
8,0.11,0.11,,,
9,-0.14,-0.14,,,
10,0.03,0.03,,,
11,0.17,0.17,,,
12,-0.12000000000000001,-0.12000000000000001,,,
13,-0.16999999999999998,-0.16999999999999998,,,
14,-0.22000000000000003,-0.22000000000000003,,,
15,-0.29999999999999993,-0.29999999999999993,,,
16,-0.35,-0.35,,,
17,-0.42000000000000015,-0.42000000000000015,,,
18,-0.48999999999999977,-0.48999999999999977,,,
19,-0.5,-0.5,,,
20,-0.54,-0.54,,,
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-0.01,0.0,0.0,-0.01,0.0
4,-0.06999999999999999,-0.02,0.0,-0.049999999999999996,0.0
5,-0.21999999999999997,-0.09999999999999999,-0.07,-0.05,0.0
6,-0.21999999999999997,-0.1,-0.22999999999999998,0.11,0.0
7,-0.19,0.09,-0.2,0.0,-0.08
8,0.0,0.11,0.030000000000000027,-0.02,-0.12000000000000001
9,0.09999999999999995,0.0,0.14999999999999997,0.02,-0.07
10,0.030000000000000054,-0.06,0.030000000000000027,-0.03,0.09000000000000002
11,-0.26,-0.22999999999999998,-0.040000000000000036,-0.06,0.06999999999999999
12,-0.6200000000000001,-0.34,-0.09999999999999998,-0.13,-0.05
13,-0.7299999999999998,-0.47999999999999987,-0.25999999999999995,-0.15,0.16
14,-1.0700000000000003,-0.56,-0.3600000000000001,-0.15000000000000002,0.0
15,-0.8400000000000001,-0.6800000000000002,-0.19999999999999996,0.12,-0.08
16,-0.3999999999999997,-0.6999999999999997,0.050000000000000044,0.28,-0.03
17,-0.2300000000000003,-0.2400000000000002,-0.030000000000000027,-0.05000000000000002,0.09
18,0.20000000000000007,0.3500000000000001,-0.06000000000000005,0.010000000000000009,-0.09999999999999999
19,0.23000000000000015,0.41000000000000014,0.030000000000000027,-0.03,-0.18
20,-0.7600000000000003,-0.13000000000000034,-0.30000000000000004,-0.06,-0.26999999999999996
