Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.004,0.003
"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.0011000000000000003,0.0
"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.002,0.0
"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.009,0.0
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",-0.010000000000000002,0.0
"[0.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 1.0]",-0.010000000000000002,0.0
"[0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0]",-0.009999999999999998,0.0
"[0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0]",-0.018,0.0
"[0.0, 1.0, 0.0, 1.0, 5.0, 0.0, 0.0, 2.0]",-0.020000000000000007,0.0
"[0.0, 1.0, 0.0, 0.0, 5.0, 0.0, 0.0, 2.0]",-0.027000000000000003,0.0
"[0.0, 1.0, 0.0, 1.0, 6.0, 0.0, 0.0, 4.0]",-0.03699999999999999,0.0
"[0.0, 1.0, 0.0, 1.0, 8.0, 0.0, 0.0, 5.0]",-0.042000000000000016,0.0
"[0.0, 1.0, 0.0, 0.0, 9.0, 0.0, 0.0, 6.0]",-0.05699999999999999,0.0
"[0.0, 1.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0]",-0.06499999999999999,0.0
"[0.0, 1.0, 0.0, 2.0, 9.0, 0.0, 0.0, 9.0]",-0.06500000000000004,0.0
